@relation weather-ankara
@attribute att0 real [23.0, 100.0]
@attribute att1 real [-7.1, 65.5]
@attribute att2 real [-3.1, 57.6]
@attribute att3 real [0.0, 4.0]
@attribute att4 real [29.46, 30.6]
@attribute att5 real [26.3, 27.18]
@attribute att6 real [0.2, 11.5]
@attribute att7 real [0.0, 18.0]
@attribute att8 real [2.19, 57.4]
@attribute output real [7.9, 81.8]
@inputs att0, att1, att2, att3, att4, att5, att6, att7, att8
@outputs output
@data
46.4,29.1,26.2,0,29.79,26.53,8.4,4.72,14.9,37.9
87.8,57.9,51.5,0.05,29.72,26.69,8.6,8.98,25.3,72.3
86.7,57.2,51.1,0,29.95,26.82,8.7,9.44,12.7,73.5
75.2,42.1,41.3,0,29.79,26.66,8.7,3.8,33.2,58.5
42.8,30.6,34.9,0,30.16,26.89,6.5,2.07,9.21,41.1
84.6,61.9,50.3,0.05,29.68,26.64,8.7,9.44,23,71.1
57.2,43.5,39.3,0.1,29.89,26.7,8.7,7.25,13.8,48.7
77.7,55.2,53.8,0.2,29.6,26.53,7.7,5.87,13.8,63.8
50.4,37.4,36.6,0.1,29.53,26.33,8.4,8.4,19.4,41.7
79.5,41.4,37.5,0,29.93,26.79,8,2.42,6.9,63.6
75.2,42.4,41.6,0,29.94,26.79,8.5,3.57,19.4,56.7
53.6,25.9,31.6,0,29.98,26.72,4.4,4.14,13.8,39.5
87.1,47.8,47.6,0.05,29.82,26.75,8.6,5.87,18.3,67.4
69.1,46.4,45.1,0,29.93,26.81,8.7,3.68,13.8,59.1
69.1,31.3,39.8,0.05,29.68,26.58,8.2,8.17,23,54
37.8,28.4,26.8,0.3,29.96,26.66,8,9.55,16.1,32.5
84.2,60.4,44.2,0,29.71,26.68,8.7,13.3,24.1,72.8
33.8,12.2,13.8,0,30.45,27.02,7,2.3,11.3,22.3
76.3,51.1,41.6,0,29.89,26.8,8.7,7.37,13.8,63.2
73,39.6,43.9,0.05,29.87,26.7,8.5,5.06,18.3,55.5
68,35.6,37.6,0.05,29.73,26.57,8.5,5.75,17.2,51.6
90.3,58.1,45,0,29.68,26.66,7.7,5.52,12.7,75.6
44.1,36.9,36.5,0,30.23,26.94,1.9,1.84,5.87,40.3
43.7,17.6,16,0,29.94,26.6,7,4.83,14.9,29.4
48.6,42.8,43.2,1,29.68,26.5,5,4.6,14.9,46.2
50,36.3,41.2,0,29.82,26.63,7.7,11.7,17.2,46.2
88.5,61.5,56.9,0,29.56,26.57,8.8,6.56,13.8,74.9
74.8,41,45.3,0.05,29.87,26.74,8.6,7.48,23,57.7
44.2,33.8,34.3,0.1,29.81,26.58,8.2,3.34,8.06,38.3
36.3,12.2,13.8,0,30.52,27.08,6.8,1.5,6.9,21.9
82.4,60.4,50.3,0,29.81,26.75,8.8,8.17,16.1,70.2
56.1,20.8,20.2,0,29.85,26.6,8.3,4.6,16.1,39.4
61.7,19.4,18.3,0,30.44,27.12,6.3,1.73,10.2,37
87.1,57.2,52.6,0,29.75,26.71,9,5.64,12.7,71.2
75.9,47.1,41.1,0,30.07,26.9,8.5,1.38,4.72,62.3
80.2,45.7,45.3,0,29.91,26.81,8.4,1.5,5.87,65.8
75.2,42.4,46.6,0,30.05,26.89,8.3,2.3,11.3,59.6
75.9,55.4,51.5,0.5,29.69,26.62,8.5,3.45,14.9,64.4
60.8,42.1,39.7,0.3,29.85,26.69,8.8,9.67,14.9,51.5
66.2,37.4,36.4,0,29.82,26.64,8.7,5.52,13.8,52.9
89.6,55,48.7,0,29.83,26.79,8.6,2.88,9.21,75.3
43.5,23,25.4,0,30.18,26.85,5.7,0.69,13.31,32.4
73.4,44.6,41.5,0,30.11,26.95,8.5,6.79,13.8,59.6
56.3,28.2,29.7,0,30.11,26.84,6.2,3.68,10.2,42.4
66.6,27.1,27.1,0,30.05,26.9,8,3.8,21.8,46
81.1,39.2,35.8,0,30.04,26.88,7.7,1.27,6.9,60
79.5,53.6,51.1,0,29.85,26.75,8.4,5.64,20.8,63.6
73.4,40.6,40.3,0.05,29.83,26.7,8.7,4.14,13.8,58.3
72,45.7,41.6,0,29.79,26.65,9.5,7.25,16.1,59.8
74.5,51.8,43.1,0,29.98,26.87,8.4,8.75,12.7,63
89.2,44.6,28,0,29.99,26.85,8.4,2.07,6.9,64.8
41,32,29,0,29.98,26.7,8.3,10.2,17.2,36.3
79.5,53.4,49.1,0,29.86,26.76,9,5.41,14.9,65.9
50,23,29.7,0,29.97,26.69,5.6,3.8,11.3,36.9
54.3,39.2,35.7,0,29.65,26.49,8.1,11.8,25.3,45.4
77,58.3,49.3,0,29.78,26.72,8.7,14.6,20.8,66.7
34.2,11.5,8.8,0,30.15,26.76,8.4,5.52,14.9,24.1
36,26.6,29,0,29.92,26.65,4.8,3.91,9.21,31.6
77.4,50.5,46.5,0,29.82,26.72,8.7,4.14,17.2,65.3
70.9,37.4,33.3,0,30.04,26.84,8.2,4.14,10.2,55.6
