@relation weather-ankara
@attribute att0 real [23.0, 100.0]
@attribute att1 real [-7.1, 65.5]
@attribute att2 real [-3.1, 57.6]
@attribute att3 real [0.0, 4.0]
@attribute att4 real [29.46, 30.6]
@attribute att5 real [26.3, 27.18]
@attribute att6 real [0.2, 11.5]
@attribute att7 real [0.0, 18.0]
@attribute att8 real [2.19, 57.4]
@attribute output real [7.9, 81.8]
@inputs att0, att1, att2, att3, att4, att5, att6, att7, att8
@outputs output
@data
40.3,16.9,24.6,0.05,30.12,26.83,8.5,4.37,13.8,30.7
73,43.2,34.9,0,30.19,27.03,8.1,7.48,12.7,55.6
30.6,11.8,14.1,0,30.47,27.03,2.6,3.11,9.21,19.3
35.6,28,23.2,0,30.15,26.81,8.2,1.27,8.06,30.5
55.6,46.4,43.5,0.1,29.73,26.57,8.2,6.56,10.2,50.1
82.4,53.6,46.3,0,29.78,26.66,8.9,9.55,20.8,69
31.3,0.3,4.6,0,30.3,26.82,6.9,0,13.31,14.1
55.4,24.4,28.1,0,30.04,26.76,7.2,5.75,14.9,39.8
66.2,50,44.1,0,29.85,26.67,9.2,12.2,57.4,58.7
84.2,48.2,42.1,0,29.79,26.72,8.6,4.6,11.3,67.9
52.9,18,18.1,0,30.05,26.73,7.7,0.35,4.72,33.6
78.4,55.4,51.4,0.1,29.74,26.67,8.9,4.49,11.3,65.7
39.6,26.6,25.6,0,30.19,26.83,7.9,5.98,10.2,30.9
75.2,57.2,45.3,0,29.76,26.65,8.7,9.55,19.4,65.6
73.6,39.2,43,0,29.99,26.86,7.6,3.22,10.2,55.9
34.7,27.9,23.7,0,30.02,26.75,8.5,5.64,10.2,31.3
53.6,24.1,26.3,0,30.04,26.78,7.8,2.99,10.2,37.5
45.7,26.2,27.4,0,30.31,26.98,6.2,0.81,4.72,33.5
31.6,14,14.3,0,30.5,27.07,8.8,2.53,12.7,20.6
37.8,17.2,16.6,0,30.3,26.93,8.5,6.44,16.1,28.4
41.7,24.8,23.7,0,30.03,26.73,9.2,8.17,21.8,33.7
84.9,47.7,43.8,0,29.78,26.7,8.3,4.6,13.8,68.7
70.9,33.8,35.7,0,30.04,26.84,8.2,2.53,9.21,53.4
91.8,51.4,43,0,29.84,26.72,8.4,8.52,13.8,74.4
45.5,37.4,37.7,0,30.01,26.79,7.4,3.8,9.21,41.9
44.6,30.9,32.2,0,29.97,26.73,7,1.96,6.9,37.4
93.7,54,39.3,0,29.8,26.7,8.2,7.6,14.9,76.3
38.8,17.6,20.5,0,29.85,26.59,6.7,9.9,20.8,27.8
46.8,26.6,25.8,0,30.26,26.94,7.5,5.18,10.2,35.6
61.2,33.8,33.1,0,30.02,26.82,8,6.79,12.7,46.9
32,24.8,15.2,0.3,30.35,27,9.1,12.2,16.1,27.8
77,47.3,45.3,0,29.78,26.68,8.5,2.88,9.21,62.7
59,42.8,36.7,0.05,29.89,26.7,8.8,8.4,18.3,50.9
66.2,37.4,30.8,0,30.21,26.99,8.2,6.67,11.3,50
50.9,26.6,30.1,0.1,29.89,26.68,8.3,9.55,24.1,40
91.4,53.6,44.5,0,29.87,26.74,8.4,6.79,17.2,71.7
59,23.2,27,0,30.37,27.06,8.7,1.84,8.06,40.5
95,57.2,46.3,0,29.64,26.55,8.4,9.09,32.2,75.4
68.9,44.6,42.6,0,29.79,26.65,8.9,8.63,17.2,57.8
71.6,46.4,41.4,0,29.94,26.81,9.1,1.61,5.87,58.5
50,30.2,33.8,0,30.17,26.9,4.8,3.8,13.8,37.9
78.8,55.2,49.6,0,29.86,26.73,8.9,4.95,11.3,67.3
57.4,17.6,16.5,0,30.06,26.76,7.9,3.8,10.2,36.6
51.4,37,39.8,0,29.91,26.68,7.4,7.94,25.3,44.5
37.4,28.4,31,0.2,29.86,26.65,5.6,7.6,11.3,34.1
34.5,25.9,25.5,0.1,29.91,26.65,7.8,3.8,8.06,31
41.7,32,31.3,0.5,29.88,26.64,6.6,7.94,17.2,36.4
53.6,30.9,32.9,0.3,29.97,26.74,8.2,3.34,8.06,45
31.3,15.1,16.2,0,30.51,27.06,3.6,0.92,4.72,20.2
80.2,42.1,41.8,0,30.04,26.92,8.6,5.64,16.1,63.5
39.2,15.8,16.5,0,30.35,26.96,8.6,3.57,11.3,26.6
91.4,55.4,44,0,29.87,26.75,8.6,1.73,8.06,74
68.4,34.9,29.7,0,29.95,26.78,8.5,2.88,12.7,52.5
55.8,26.2,30,0,30.17,26.88,7.2,1.27,6.9,38.4
82.8,57.2,48.1,0,29.86,26.79,8.3,11.5,16.1,71.1
62.6,30.6,42.4,0.1,29.84,26.67,8.2,4.72,16.1,51.1
72.7,39.2,41.4,0,30.14,26.96,8.2,2.76,11.3,54.8
90,58.1,49.1,0,29.88,26.76,8.4,10.8,17.2,76
53.2,37.4,36.6,0,30.16,26.91,8.8,5.64,14.9,44.4
65.7,46.4,41.2,0,30.12,26.93,8.6,9.09,14.9,55.9
77.4,57.2,41.7,0,29.68,26.6,7.8,7.37,20.8,65.6
95.4,57.9,53.3,0,29.7,26.62,8.5,6.9,14.9,79.3
59.4,23.4,27,0,30.47,27.14,8.2,1.73,11.3,39.3
43.2,21.7,28.1,0,30.18,26.91,4.2,0.69,4.72,32.6
82.4,53.6,50.3,0,29.83,26.77,8.7,6.44,11.3,70.3
97.2,56.5,47.1,0,29.79,26.78,8.8,2.99,9.21,77.9
89.6,47.5,40.7,0,29.75,26.69,8.2,3.57,10.2,71.2
78.8,39.6,36.5,0,29.95,26.81,7.6,3.11,11.3,59.8
38.1,19,18.2,0.05,30.4,27.02,8.7,2.42,6.9,29.1
57.2,35.6,38.1,0.2,29.82,26.64,9.7,9.09,15.4,47.5
51.8,41,39.1,0,29.65,26.47,7.6,6.67,16.1,45.8
42.4,26.6,25.5,0,29.95,26.73,8.7,5.41,11.3,35.6
42.8,30.9,34.6,0.05,29.92,26.69,10.3,4.6,13.8,37.6
78.8,46.8,36.5,0,29.89,26.78,8.3,6.79,10.2,64.5
60.4,24.8,29.2,0,30.26,26.96,7.3,0.46,10.2,39.5
55.4,42.4,36.3,0,30.2,26.98,8.5,15.4,21.8,47.7
40.1,25.9,30,0.05,29.82,26.58,5,1.96,4.72,33.4
81.5,56.7,47.8,0,29.75,26.7,8.1,7.94,11.3,67.5
90.3,58.5,46.8,0,29.85,26.73,8.3,4.6,11.3,73.7
30.2,18.7,21.7,0,30.05,26.76,5.1,2.65,13.8,25.8
28,20.5,19.6,0,30.01,26.72,7.1,10,13.8,24.6
59.7,32.9,45.6,0,29.83,26.67,7.4,4.03,6.9,53.9
59,20.5,22.6,0,30.26,26.99,8.2,1.27,5.87,39.4
60.1,31.3,35.3,0,30.04,26.83,8.7,3.57,8.06,48.4
57.9,17.2,19.3,0,30.4,27.06,7.5,0.35,4.72,34
50,39.2,38.3,0.2,29.6,26.45,8,4.95,10.2,45.5
86,55.4,50.4,0,29.96,26.82,8.4,11.6,18.3,71.9
37.4,24.8,22.8,0,30.12,26.79,8.4,10.3,16.1,31.8
46.4,23.7,20.6,0,30.4,27.08,8.2,2.07,5.87,33.9
28.4,20.1,17.5,0,30.19,26.9,8.7,3.91,9.21,24.2
84.2,56.5,40.6,0,29.99,26.85,8.3,9.32,16.1,70.6
84.2,48.9,45.8,0,30.01,26.87,8.5,5.41,12.7,67.9
65.7,17.6,23.7,0,30.16,26.91,8,3.57,12.7,42.7
59,28.4,33.3,0,30.03,26.78,6.5,2.19,9.21,41.5
38.1,23.4,21.3,0.1,30.47,27.11,8.1,1.96,8.06,29.4
54,41,43.1,0.3,29.91,26.71,5.7,1.96,8.06,48.3
56.5,24.6,28.2,0,30.24,26.96,7.6,2.53,9.21,38.2
46.6,30.2,29.4,0.1,30.24,26.97,8.5,8.29,13.8,38.5
34.2,21.2,20.3,0,30.04,26.76,8.1,5.98,12.7,27.5
88.5,51.3,53.3,0,29.69,26.63,8.2,3.91,16.1,69.2
86.4,46.8,35.6,0,30.06,26.9,8.5,2.42,9.21,65.4
41,24.8,28.9,0.1,29.98,26.68,4.3,3.8,9.21,33.9
75.6,44.6,39.8,0,30.05,26.93,8.5,8.17,13.8,62.4
77.4,45.5,44.7,0,29.88,26.76,8.6,2.07,6.9,62
38.1,23,26.2,0.1,29.86,26.63,7.1,10.3,16.1,33.3
74.1,56.8,52,0,29.8,26.71,8.7,7.71,14.9,65.3
68,31.1,29.3,0,30.04,26.82,8.2,3.22,10.2,48.5
75.9,48.2,40.5,0,29.84,26.75,7.8,11.1,28.8,61.6
