@relation weather-ankara
@attribute att0 real [23.0, 100.0]
@attribute att1 real [-7.1, 65.5]
@attribute att2 real [-3.1, 57.6]
@attribute att3 real [0.0, 4.0]
@attribute att4 real [29.46, 30.6]
@attribute att5 real [26.3, 27.18]
@attribute att6 real [0.2, 11.5]
@attribute att7 real [0.0, 18.0]
@attribute att8 real [2.19, 57.4]
@attribute output real [7.9, 81.8]
@inputs att0, att1, att2, att3, att4, att5, att6, att7, att8
@outputs output
@data
86.4,57.7,51.1,0,29.78,26.75,8.5,5.75,13.8,73.8
73.6,37.4,37.4,0,30.14,26.98,8.2,5.41,12.7,58.5
69.8,46.4,42.7,0,29.77,26.67,7.9,6.9,21.8,57.9
57.9,28,33.3,0,29.81,26.6,8,6.79,17.2,45.4
59.4,30,31.9,0,29.93,26.69,8.2,1.5,9.21,41.3
33.4,26.6,26.6,0,30.1,26.77,6.1,4.95,11.3,30.6
70.5,42.3,41.3,0,30.06,26.92,9,8.52,16.1,59.3
63.1,32,33.8,0,30.1,26.89,8.4,3.34,9.21,48.6
59.4,33.4,35.6,0,30.1,26.87,5.3,2.76,8.06,45.6
52.9,19.4,24.9,0,30.22,26.94,6.1,2.42,10.2,35.1
35.2,20.8,22.6,0,30.45,27.06,8.3,9.09,18.3,29.5
82.4,50.4,49.2,0,29.79,26.72,8.7,5.64,12.7,67.7
39.2,23,24.9,0.1,30.18,26.84,10.9,5.64,10.2,31.3
44.6,35.2,33.3,0,29.91,26.65,7.2,6.9,11.3,39.1
48.2,37.4,40.3,0.1,29.92,26.72,7.9,9.44,19.4,45.1
42.1,26.2,26.1,0.05,29.73,26.44,7.3,10.3,13.8,33.5
46.4,30.2,34.7,0.3,30,26.74,6.6,4.49,11.3,38.5
59,20.5,23.5,0,30.08,26.82,8,3.68,10.2,41.9
85.3,51.8,50.9,0,29.76,26.7,8.6,5.29,11.3,70
84.2,46,42.8,0,29.96,26.82,8.4,5.87,19.4,65.9
45.5,31.1,30.7,0,29.78,26.54,6.7,6.1,13.8,37.8
35.6,12.9,17.9,0,30.47,27.13,6.1,1.84,9.21,23.7
52.5,25.2,29.1,0,30.45,27.12,7.9,4.95,10.2,37.3
50.4,22.6,27.4,0,30.22,26.95,5.8,2.3,8.06,35.2
50.4,28.4,26.9,0,30.17,26.93,8.5,9.32,19.4,39
41.7,20.5,25.3,0,30.07,26.79,7.2,5.41,13.8,32.8
29.7,5.7,14.5,0.1,30.08,26.71,7.1,5.52,11.3,20.7
68.7,50,50.9,0,30.04,26.88,8.5,12,20.8,60
84.2,45,43.5,0,29.95,26.87,8.6,8.52,20.8,67.2
39.2,26.6,20.7,0,30.1,26.76,8,12.4,18.3,32.6
55.8,20.8,23,0,30.19,26.88,8.2,2.65,9.21,39.1
90.3,50,49,0,29.82,26.77,8.1,4.95,16.1,72.5
68.7,32.7,35.4,0,30.13,26.92,8.3,1.5,6.9,52.8
74.5,51.8,49.1,0,29.82,26.72,8.5,6.9,19.4,62.8
95,57.2,46.7,0,29.83,26.81,8.2,2.53,8.06,77.9
23,3.2,7,0,30.33,26.97,6,0.58,4.72,12.3
43.2,30.2,24.5,0,29.98,26.73,8.3,7.5,13.8,36.6
38.1,22.6,27.4,0,30.06,26.77,3.3,0.46,4.72,30.3
71.1,50.4,42.9,0,30.12,26.98,8.1,12.6,18.3,59
47.5,24.4,20.5,0,30.28,26.95,8.6,6.67,12.7,34.2
63.7,37,37.6,0,30.1,26.9,6.5,1.84,9.21,47.3
53.2,22.5,25.4,0,30.12,26.8,6.4,4.03,13.8,36
70.9,48.2,51.5,0.3,29.88,26.76,7.7,3.22,11.3,59.4
47.8,29.1,28.8,0,30.14,26.84,8.4,1.15,4.72,38.4
51.8,28.4,37.2,0.1,29.86,26.71,5.5,8.29,19.4,43.2
